# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	48101
#@/user_id	2e78a248-4bb3-4f88-87b4-60fa7da6ab99
a 	啊	c=4 d=1.03765e-17 t=48101
yun duan xin 	雲短信	c=1 d=3.20626e-60 t=48101
yun fei 	運費	c=2 d=3.81243e-09 t=48101
yun nan bai yao 	雲南白藥	c=2 d=1.07521e-59 t=48101
yun pan 	雲盤	c=3 d=3.9659e-86 t=48101
yun qi 	運氣	c=3 d=1.58038e-32 t=48101
yun wei 	運維	c=1 d=0.38868 t=48101
yun xing 	運行	c=27 d=1.92149e-15 t=48101
yun xu 	允許	c=6 d=0.20089 t=48101
yun ying 	運營	c=18 d=8.6995e-09 t=48101
yun ying ce lve 	運營策略	c=1 d=1.0145e-81 t=48101
za ban 	咋辦	c=1 d=1.93105e-36 t=48101
za luan 	雜亂	c=1 d=1.15793e-78 t=48101
za men 	咱們	c=1 d=1.0492e-66 t=48101
za men de 	咱們的	c=1 d=1.05446e-65 t=48101
za yang 	咋樣	c=1 d=4.84113e-84 t=48101
za yin 	雜音	c=1 d=2.12632e-81 t=48101
zai 	再	c=131 d=0.920218 t=48101
zai 	在	c=224 d=0.707452 t=48101
zai ci 	再次	c=15 d=1.22805e-06 t=48101
zai de 	在地	c=6 d=0.276756 t=48101
zai de 	在的	c=1 d=1 t=47085
zai de hua 	在的話	c=1 d=1.49946e-60 t=48101
zai fa 	再發	c=3 d=1.11673e-58 t=48101
zai fei 	在飛	c=0 d=7.02801e-88 t=48101
zai gan ma 	在幹嗎	c=3 d=2.98506 t=41894
zai gan ma 	在幹嘛	c=3 d=2.98506 t=41897
zai jia 	在家	c=3 d=1.35915e-57 t=48101
zai jian 	再見	c=1 d=1 t=44549
zai kan kan 	再看看	c=1 d=1 t=41595
zai lai 	再來	c=7 d=0.00290884 t=48101
zai le 	在了	c=1 d=1.46977e-60 t=48101
zai li yong 	再利用	c=2 d=1.45384 t=46110
zai mai 	再買	c=1 d=2.50052e-47 t=48101
zai na 	在哪	c=13 d=1.81396e-06 t=48101
zai ni 	在你	c=1 d=5.55632e-58 t=48101
zai nong 	再弄	c=1 d=4.65636e-38 t=48101
zai shi 	再試	c=2 d=6.53081e-18 t=48101
zai shi ba 	再試吧	c=1 d=4.42851e-36 t=48101
zai shuo 	再說	c=1 d=1 t=44198
zai wai 	在外	c=1 d=1.34258e-54 t=48101
zai wai mian 	在外面	c=3 d=8.95395e-54 t=48101
zai wai tou 	在外頭	c=1 d=2.15889e-54 t=48101
zai xian 	在線	c=31 d=2.03835 t=48101
zai xiang 	再想	c=1 d=3.35213e-54 t=48101
zai xiao 	在校	c=1 d=4.24546e-10 t=48101
zai xie 	再寫	c=1 d=2.7145e-13 t=48101
zai yong 	再用	c=1 d=2.62149e-44 t=48101
zai yu 	在於	c=1 d=2.92392e-05 t=48101
zai zhe 	在這	c=1 d=1 t=43722
zai zhi 	在職	c=4 d=9.9552e-58 t=48101
zai zou 	再走	c=1 d=1.61465e-19 t=48101
zan 	咱	c=3 d=1.70408e-17 t=48101
zan bu 	暫不	c=1 d=3.81348e-71 t=48101
zan me 	咱麼	c=1 d=1.2998e-26 t=48101
zan men 	咱們	c=30 d=1.46516e-22 t=48101
zan men de 	咱們的	c=2 d=4.61663e-76 t=48101
zan shi 	暫時	c=18 d=0.00354428 t=48101
zan ting 	暫停	c=1 d=1.37064e-62 t=48101
zao 	早	c=4 d=0.000159256 t=48101
zao 	藻	c=1 d=1.30769e-09 t=48101
zao 	遭	c=1 d=1.055e-71 t=48101
zao ban 	早班	c=2 d=2.25603e-83 t=48101
zao chen 	早晨	c=1 d=8.76872e-14 t=48101
zao cheng 	造成	c=1 d=5.34516e-14 t=48101
zao dian 	早點	c=5 d=0.000228266 t=48101
zao dian xiu xi 	早點休息	c=2 d=8.07065e-38 t=48101
zao gao 	糟糕	c=1 d=7.9928e-71 t=48101
zao jia 	造假	c=8 d=9.00464e-57 t=48101
zao shang 	早上	c=6 d=8.38007e-41 t=48101
zao wan 	早晚	c=2 d=4.86307e-49 t=48101
zao yi dian 	早一點	c=1 d=0.00012465 t=48101
ze 	則	c=2 d=9.85783e-09 t=48101
ze guai 	責怪	c=1 d=3.07593e-13 t=48101
ze ren xin 	責任心	c=1 d=2.24196e-57 t=48101
ze she 	咋舌	c=1 d=8.97942e-58 t=48101
zen me 	怎麼	c=77 d=0.610942 t=48101
zen me ban 	怎麼辦	c=14 d=0.448221 t=48101
zen me gai 	怎麼改	c=2 d=6.94906e-13 t=48101
zen me gan jiao 	怎麼感覺	c=1 d=6.08993e-78 t=48101
zen me gao 	怎麼搞	c=1 d=1.62186e-42 t=48101
zen me hao 	怎麼好	c=1 d=1 t=45012
zen me hui 	怎麼會	c=1 d=1.66009e-22 t=48101
zen me kai 	怎麼開	c=1 d=1.664e-79 t=48101
zen me la 	怎麼啦	c=1 d=2.57711e-49 t=48101
zen me mai 	怎麼買	c=1 d=5.13349e-68 t=48101
zen me nong 	怎麼弄	c=2 d=2.62604e-35 t=48101
zen me shuo 	怎麼說	c=1 d=1.83806e-73 t=48101
zen me yang 	怎麼樣	c=62 d=0.00113314 t=48101
zen me zuo 	怎麼做	c=5 d=0.055299 t=48101
zen yang 	怎樣	c=11 d=1.39128e-30 t=48101
zeng jia 	增加	c=15 d=2.53861 t=48101
zeng liang 	增亮	c=2 d=5.73136e-61 t=48101
zeng liang 	增量	c=1 d=2.80861e-61 t=48101
zeng qiang 	增強	c=3 d=0.0134335 t=48101
zeng song 	贈送	c=5 d=1.23812 t=45585
zeng zhang liang 	增長量	c=1 d=1.09128e-57 t=48101
zha pian 	詐騙	c=3 d=1.31185e-81 t=48101
zhan 	沾	c=1 d=1.3018e-44 t=48101
zhan 	站	c=2 d=4.12933e-78 t=48101
zhan dian 	站點	c=2 d=2.78853e-86 t=48101
zhan dui 	戰隊	c=2 d=2.12054e-49 t=48101
zhan dui sai 	戰隊賽	c=2 d=6.00847e-59 t=48101
zhan huo 	斬獲	c=1 d=3.91014e-42 t=48101
zhan ju 	佔據	c=1 d=1.49921e-58 t=48101
zhan lan guan 	展覽館	c=4 d=5.57977e-78 t=48101
zhan shi 	展示	c=5 d=3.29952e-15 t=48101
zhan tie 	粘貼	c=10 d=1.97523 t=47654
zhan yong 	佔用	c=1 d=1 t=47372
zhan zai 	站在	c=1 d=5.45e-66 t=48101
zhan zhang 	站長	c=3 d=1.59718 t=48101
zhang 	張	c=3 d=2.14045e-56 t=48101
zhang 	漲	c=2 d=5.66181e-44 t=48101
zhang 	章	c=1 d=6.33092e-64 t=48101
zhang chun yu 	張春雨	c=17 d=0.651096 t=48101
zhang hao 	帳號	c=52 d=0.711777 t=48101
zhang hao ming 	賬號名	c=1 d=1.22874e-41 t=48101
zhang hao suo 	帳號鎖	c=1 d=1 t=42347
zhang hu 	賬戶	c=20 d=0.0356563 t=48101
zhang le 	漲了	c=0 d=1.64772e-82 t=48101
zhang le mei 	漲了沒	c=1 d=1.65598e-81 t=48101
zhang san 	張三	c=6 d=2.71652e-14 t=48101
zhang wen 	掌纹	c=5 d=4.20642e-55 t=48101
zhang yu 	張宇	c=1 d=1.09202e-65 t=48101
zhao 	找	c=11 d=3.02153e-45 t=48101
zhao 	招	c=7 d=0.000109455 t=48101
zhao ba 	找吧	c=1 d=3.84121e-68 t=48101
zhao bu dao 	找不到	c=6 d=0.0338776 t=48101
zhao bu hui 	找不回	c=1 d=3.24014e-66 t=48101
zhao cha 	找茬	c=1 d=2.10702e-62 t=48101
zhao chu 	找出	c=1 d=1.79621e-08 t=48101
zhao da 	找打	c=1 d=1.77303e-61 t=48101
zhao dao 	找到	c=21 d=0.00474815 t=48101
zhao dao le 	找到了	c=3 d=5.07221e-15 t=48101
zhao dao wo 	找到我	c=1 d=4.53338e-76 t=48101
zhao de 	找的	c=2 d=0.000337144 t=48101
zhao ge 	找個	c=1 d=3.35441e-62 t=48101
zhao gong zuo 	找工作	c=4 d=1.71327e-40 t=48101
zhao gu 	照顧	c=1 d=5.37635e-53 t=48101
zhao hui 	找回	c=3 d=5.1632e-09 t=48101
zhao ji 	着急	c=9 d=1.60883e-14 t=48101
zhao le 	找了	c=2 d=1.35755e-08 t=48101
zhao ni 	找你	c=1 d=2.64109e-14 t=48101
zhao nin 	找您	c=1 d=5.40807e-34 t=48101
zhao pian 	照片	c=4 d=8.15804e-67 t=48101
zhao pin 	招聘	c=6 d=1.22636e-70 t=48101
zhao ren 	招人	c=3 d=7.43232e-84 t=48101
zhao shang 	招商	c=1 d=1.13957e-37 t=48101
zhao shang men 	找上門	c=1 d=2.1227e-61 t=48101
zhao shui 	找誰	c=1 d=1.28968e-81 t=48101
zhao ta 	找她	c=1 d=2.35202e-62 t=48101
zhao wo 	找我	c=3 d=6.98033e-07 t=48101
zhao wo men 	找我們	c=1 d=4.63471e-42 t=48101
zhao yi jia 	找一家	c=1 d=1.08732e-73 t=48101
zhao yi xia 	找一下	c=1 d=1.44513e-67 t=48101
zhao yi xie 	找一些	c=2 d=0.000420107 t=48101
zhao zhao 	找找	c=2 d=0.149569 t=48101
zhao zhao kan 	找找看	c=2 d=8.50785e-41 t=48101
zhao zhe 	照着	c=2 d=0.000939653 t=48101
zhe 	折	c=4 d=0.00440507 t=48101
zhe 	着	c=6 d=6.00905e-09 t=48101
zhe 	者	c=2 d=1.83849e-17 t=48101
zhe 	這	c=59 d=0.145899 t=48101
zhe bian 	這邊	c=14 d=0.307279 t=48101
zhe bu 	這步	c=2 d=3.76773e-16 t=48101
zhe bu 	這部	c=1 d=5.52972e-31 t=48101
zhe bu fen 	這部份	c=5 d=2.69912e-05 t=48101
zhe ci 	這次	c=2 d=1.26883e-07 t=48101
zhe dang 	遮擋	c=1 d=2.98229e-61 t=48101
zhe de 	這得	c=1 d=7.88747e-62 t=48101
zhe dian 	這點	c=1 d=1.29262e-49 t=48101
zhe die 	摺疊	c=2 d=0.0287246 t=48101
zhe duan 	這段	c=1 d=4.47211e-63 t=48101
zhe duan shi jian 	這段時間	c=2 d=4.7014e-63 t=48101
zhe fang mian 	這方面	c=2 d=0.00022263 t=48101
zhe ge 	這個	c=323 d=0.322617 t=48101
zhe ge ren 	這個人	c=1 d=4.12841e-35 t=48101
zhe ge shi 	這個事	c=2 d=6.44231e-66 t=48101
zhe ge shi hou 	這個時候	c=1 d=2.56505e-82 t=48101
zhe ge yue 	這個月	c=5 d=4.47744e-77 t=48101
zhe he 	摺合	c=1 d=1 t=45598
zhe hui 	這會	c=19 d=3.07473e-07 t=48101
zhe ji ge 	這幾個	c=1 d=1 t=45869
zhe ji tian 	這幾天	c=3 d=0.00499673 t=48101
zhe jia 	這家	c=9 d=3.91318e-14 t=48101
zhe jiang 	浙江	c=1 d=1.80731e-51 t=48101
zhe jiu 	這就	c=1 d=1.62131e-38 t=48101
zhe jiu shi 	這就是	c=1 d=7.48088e-57 t=48101
zhe ju hua 	這句話	c=2 d=5.27814e-42 t=48101
zhe kou 	折扣	c=6 d=0.000367055 t=48101
zhe kou dian 	折扣店	c=2 d=1.2486e-53 t=48101
zhe kuai 	這塊	c=3 d=8.95253e-15 t=48101
zhe lei 	這類	c=1 d=8.45335e-83 t=48101
zhe li 	這裏	c=36 d=1.15605e-05 t=48101
zhe li mian 	這裏面	c=3 d=7.87004e-36 t=48101
zhe liang ge 	這兩個	c=1 d=5.97564e-61 t=48101
zhe liang tian 	這兩天	c=4 d=7.81215e-08 t=48101
zhe me 	這麼	c=25 d=0.000390029 t=48101
zhe me da 	這麼大	c=1 d=7.90091e-82 t=48101
zhe me ding de 	這麼定的	c=1 d=1 t=44309
zhe me duan 	這麼短	c=1 d=3.45128e-44 t=48101
zhe me duo 	這麼多	c=9 d=2.79526e-05 t=48101
zhe me duo ren 	這麼多人	c=1 d=2.69198e-62 t=48101
zhe me gui 	這麼貴	c=1 d=2.35731e-59 t=48101
zhe me jiu 	這麼久	c=1 d=7.74051e-76 t=48101
zhe me kuai 	這麼快	c=3 d=2.47741e-26 t=48101
zhe me niu 	這麼牛	c=1 d=6.19185e-38 t=48101
zhe me pin 	這麼拼	c=1 d=7.63875e-38 t=48101
zhe me shao 	這麼少	c=2 d=6.38911e-54 t=48101
zhe me shuo 	這麼說	c=1 d=1.72508e-62 t=48101
zhe me yang 	這麼樣	c=1 d=1.95384e-27 t=48101
zhe me zuo 	這麼做	c=1 d=2.38359e-13 t=48101
zhe pian 	這篇	c=21 d=6.39932e-14 t=48101
zhe shang mian 	這上面	c=5 d=3.90213e-56 t=48101
zhe shi 	這事	c=2 d=1.03403e-73 t=48101
zhe shi 	這是	c=32 d=1.34645e-07 t=48101
zhe shuang 	這雙	c=1 d=3.67856e-59 t=48101
zhe teng 	折騰	c=3 d=2.19152e-54 t=48101
zhe tiao 	這條	c=4 d=3.66232e-07 t=48101
zhe wei 	這位	c=7 d=6.87574e-57 t=48101
zhe xie 	這些	c=18 d=0.00119748 t=48101
zhe xie ren 	這些人	c=2 d=6.21196e-72 t=48101
zhe yang 	這樣	c=62 d=0.628135 t=48101
zhe yang ba 	這樣吧	c=2 d=4.44149e-41 t=48101
zhe yang de 	這樣的	c=3 d=1.18241e-30 t=48101
zhe yang de hua 	这样的话	c=1 d=1.93928e-86 t=48101
zhe yi bu 	這一步	c=7 d=5.35899e-15 t=48101
zhe yi hang 	這一行	c=1 d=1.3821e-13 t=48101
zhe yi kuai 	這一塊	c=3 d=1.84214e-40 t=48101
zhe yi kuan 	這一款	c=1 d=1.28504e-68 t=48101
zhe yi xiang 	這一項	c=2 d=3.23198e-07 t=48101
zhe zhang 	這張	c=2 d=6.84327e-09 t=48101
zhe zhao 	遮罩	c=7 d=4.89535e-70 t=48101
zhe zhong 	這種	c=30 d=0.527292 t=48101
zhen 	真	c=16 d=0.540641 t=48101
zhen cheng 	真誠	c=0 d=1.51659e-77 t=48101
zhen de 	真的	c=21 d=1.24926e-30 t=48101
zhen de ma 	真的嗎	c=1 d=2.97924e-49 t=48101
zhen de shi 	真的是	c=2 d=1.17128e-07 t=48101
zhen duan 	診斷	c=1 d=0.412714 t=48101
zhen ji 	真機	c=3 d=1.49285e-78 t=48101
zhen ji tiao shi 	真機調試	c=1 d=4.97399e-79 t=48101
zhen qi guai 	真奇怪	c=1 d=5.12809e-85 t=48101
zhen ren 	真人	c=3 d=2.41552e-14 t=48101
zhen shi 	真實	c=20 d=9.10118e-40 t=48101
zhen shi 	真是	c=7 d=2.23822e-08 t=48101
zhen xin 	真心	c=1 d=1.7961e-66 t=48101
zhen zheng 	真正	c=1 d=3.15165e-05 t=48101
zheng 	正	c=3 d=2.16045e-57 t=48101
zheng 	證	c=2 d=1.29512e-13 t=48101
zheng ban 	正版	c=3 d=1.52339 t=42066
zheng chang 	正常	c=16 d=3.13593e-05 t=48101
zheng chang bu guo 	正常不過	c=1 d=1.94536e-64 t=48101
zheng fang xing 	正方形	c=1 d=2.68229e-49 t=48101
zheng ge 	整個	c=6 d=1.88831e-08 t=48101
zheng gui 	正規	c=7 d=6.04514e-13 t=48101
zheng gui 	正軌	c=2 d=4.11482e-54 t=48101
zheng hao 	正好	c=1 d=1.19073e-83 t=48101
zheng he 	整合	c=1 d=6.47926e-13 t=48101
zheng ju 	證據	c=2 d=1.15962e-07 t=48101
zheng li 	整理	c=6 d=0.609571 t=48101
zheng mian 	正面	c=4 d=2.12929e-68 t=48101
zheng pin 	正品	c=8 d=0.0555762 t=48101
zheng qu 	爭取	c=5 d=2.86798e-13 t=48101
zheng que 	正確	c=10 d=0.509156 t=48101
zheng ru 	正如	c=1 d=3.48051e-55 t=48101
zheng shi 	正式	c=2 d=4.11272e-48 t=48101
zheng shi 	證實	c=1 d=3.4153e-09 t=48101
zheng shi ban 	正式版	c=1 d=2.56295e-43 t=48101
zheng shu 	證書	c=1 d=8.26035e-76 t=48101
zheng ti 	整體	c=1 d=1.08318e-87 t=48101
zheng xin 	正心	c=3 d=2.34993e-78 t=48101
zheng xing 	整形	c=1 d=5.74659e-13 t=48101
zheng yi 	正義	c=2 d=4.94273e-66 t=48101
zheng zai 	正在	c=11 d=1.06256e-08 t=48101
zheng ze 	正則	c=1 d=1.07899e-12 t=48101
zheng zhi 	政治	c=2 d=1.83119e-29 t=48101
zheng zhong yang 	正中央	c=1 d=8.07863e-79 t=48101
zhi 	值	c=2 d=6.27047e-44 t=48101
zhi 	只	c=4 d=0.00121259 t=48101
zhi 	支	c=1 d=1.36005e-59 t=48101
zhi 	知	c=3 d=2.24695e-78 t=48101
zhi 	紙	c=2 d=2.1678e-73 t=48101
zhi 	至	c=16 d=0.260379 t=48101
zhi 	致	c=3 d=2.23575e-78 t=48101
zhi bao 	質保	c=1 d=1 t=42544
zhi bo 	直播	c=6 d=1.31465e-42 t=48101
zhi chi 	支持	c=19 d=0.273898 t=48101
zhi chi zhe 	支持者	c=1 d=9.2958e-83 t=48101
zhi chu 	之處	c=1 d=1.19861e-43 t=48101
zhi chu 	指出	c=1 d=1.12081e-77 t=48101
zhi da 	直達	c=3 d=1.02722e-72 t=48101
zhi dao 	指導	c=10 d=0.0018734 t=48101
zhi dao 	知道	c=28 d=2.71403e-11 t=48101
zhi de 	值得	c=2 d=0.299692 t=48101
zhi de shi 	指的是	c=1 d=2.64272e-80 t=48101
zhi dian 	指點	c=1 d=1.55477e-45 t=48101
zhi ding 	制定	c=1 d=3.33644e-87 t=48101
zhi ding 	指定	c=7 d=0.597501 t=48101
zhi du 	制度	c=1 d=1.12375e-49 t=48101
zhi fu 	支付	c=28 d=0.860414 t=48101
zhi fu bao 	支付寶	c=28 d=0.387964 t=48101
zhi guan 	直觀	c=1 d=2.36253e-85 t=48101
zhi hou 	之後	c=32 d=0.0312587 t=48101
zhi hu 	Zhihu	c=1 d=4.43667e-87 t=48101
zhi hu 	知乎	c=73 d=2.94769e-12 t=48101
zhi jia 	支架	c=1 d=1.53559e-46 t=48101
zhi jiao 	指教	c=1 d=1.64268e-45 t=48101
zhi jie 	直接	c=61 d=0.29736 t=48101
zhi jie fa 	直接發	c=1 d=5.00861e-43 t=48101
zhi jin 	紙巾	c=2 d=1.03823e-59 t=48101
zhi jin 	至今	c=1 d=4.38132e-57 t=48101
zhi le 	值了	c=1 d=4.34364e-73 t=48101
zhi lei 	之類	c=8 d=0.26982 t=48101
zhi liang 	質量	c=6 d=3.11382e-10 t=48101
zhi lu 	之路	c=2 d=3.52662e-55 t=48101
zhi mai 	只賣	c=1 d=9.24314e-75 t=48101
zhi ming 	知名	c=1 d=2.22343e-77 t=48101
zhi nan 	直男	c=1 d=7.23612e-48 t=48101
zhi nan zhen 	指南針	c=1 d=4.20653e-78 t=48101
zhi nei 	之內	c=2 d=3.06895e-74 t=48101
zhi neng 	只能	c=4 d=0.00311976 t=48101
zhi neng 	智能	c=11 d=0.0037883 t=48101
zhi niao ku 	紙尿褲	c=4 d=0.000305061 t=48101
zhi pei 	支配	c=1 d=5.87747e-72 t=48101
zhi pin 	直聘	c=2 d=8.48128e-63 t=48101
zhi qian 	之前	c=111 d=0.242926 t=48101
zhi shan 	至善	c=1 d=7.8021e-81 t=48101
zhi shang 	之上	c=1 d=1.94199e-73 t=48101
zhi shao 	至少	c=2 d=5.33934e-51 t=48101
zhi shi 	只是	c=11 d=0.00019647 t=48101
zhi shi 	指示	c=0 d=7.86711e-62 t=48101
zhi shi 	知識	c=8 d=0.000367528 t=48101
zhi shi dian 	指示點	c=1 d=7.90654e-61 t=48101
zhi shi dian 	知識點	c=2 d=1.35449e-59 t=48101
zhi shi ku 	知識庫	c=6 d=1.40519e-73 t=48101
zhi shi lie biao 	知識列表	c=1 d=1.96391e-58 t=48101
zhi shi qi 	指示器	c=2 d=7.94617e-61 t=48101
zhi shi tu pu 	知識圖譜	c=3 d=1.18907e-59 t=48101
zhi tu 	製圖	c=1 d=2.81732e-68 t=48101
zhi wai 	之外	c=5 d=3.85802e-05 t=48101
zhi wei 	只爲	c=2 d=4.17064e-74 t=48101
zhi wei 	職位	c=2 d=1.20956e-79 t=48101
zhi wen suo 	指紋鎖	c=1 d=1 t=42349
zhi wu you 	植物油	c=1 d=1.61487e-50 t=48101
zhi xia 	之下	c=1 d=1.74313e-08 t=48101
zhi xing 	執行	c=12 d=0.802519 t=48101
zhi xu 	只需	c=2 d=4.36495e-13 t=48101
zhi xu 	秩序	c=3 d=1.83631e-08 t=48101
zhi xu yao 	只需要	c=1 d=1 t=45228
zhi yao 	只要	c=8 d=0.00406639 t=48101
zhi ye 	職業	c=1 d=6.82887e-43 t=48101
zhi yin 	指引	c=1 d=5.83145e-09 t=48101
zhi you 	只有	c=13 d=0.231078 t=48101
zhi yu 	至於	c=1 d=4.23207e-61 t=48101
zhi ze 	指責	c=1 d=3.45293e-79 t=48101
zhi zhao 	直招	c=1 d=1.59137e-54 t=48101
zhi zhen 	指針	c=1 d=1 t=47129
zhi zuo 	製作	c=3 d=0.0108148 t=48101
zhong 	中	c=145 d=1.60506 t=48101
zhong 	種	c=1 d=2.94039e-71 t=48101
zhong 	鍾	c=1 d=1 t=47252
zhong cao yao 	中草藥	c=1 d=1 t=41648
zhong de 	中的	c=1 d=1.90548e-85 t=48101
zhong dian 	終點	c=1 d=1.18523e-58 t=48101
zhong dian 	重點	c=5 d=1.0897 t=48101
zhong guan cun 	中關村	c=3 d=6.82052e-58 t=48101
zhong guan yuan 	中關園	c=1 d=1 t=41202
zhong gui zhong ju 	中規中矩	c=1 d=7.47682e-80 t=48101
zhong guo 	中國	c=20 d=1.01294e-08 t=48101
zhong ji 	終極	c=1 d=7.70871e-57 t=48101
zhong jian 	中間	c=4 d=7.79704e-44 t=48101
zhong jiang 	中獎	c=1 d=1 t=46510
zhong ke da 	中科大	c=3 d=2.62943e-13 t=48101
zhong lei 	種類	c=1 d=1.46548e-55 t=48101
zhong shen 	終身	c=3 d=1.69777e-23 t=48101
zhong tu 	中途	c=1 d=1 t=41616
zhong wen 	中文	c=13 d=3.54215 t=48101
zhong xin 	中心	c=9 d=1.2998e-06 t=48101
zhong xin xian 	中心線	c=1 d=3.22508e-70 t=48101
zhong xue 	中學	c=1 d=7.35596e-06 t=48101
zhong yang 	中央	c=1 d=8.62705e-87 t=48101
zhong yao 	重要	c=5 d=0.00182715 t=48101
zhong ying 	中英	c=1 d=0.856415 t=48101
zhong ying wen 	中英文	c=3 d=0.995012 t=48101
zhong yu 	終於	c=1 d=4.63565e-15 t=48101
zhong zhi 	終止	c=7 d=0.909373 t=48101
zhou 	洲	c=1 d=5.18366e-06 t=48101
zhou chang 	週長	c=2 d=5.71057e-49 t=48101
zhou liu 	週六	c=2 d=1.13211e-48 t=48101
zhou ri 	週日	c=2 d=2.92274e-59 t=48101
zhu 	主	c=1 d=1 t=46011
zhu 	住	c=1 d=5.04331e-36 t=48101
zhu 	朱	c=1 d=5.24199e-20 t=48101
zhu 	祝	c=2 d=4.63787e-50 t=48101
zhu ban 	主板	c=1 d=7.74841e-88 t=48101
zhu bao 	珠寶	c=2 d=1.35503e-07 t=48101
zhu bo 	主播	c=4 d=1.51793e-57 t=48101
zhu ce 	註冊	c=48 d=0.0650191 t=48101
zhu ce guo cheng 	注册过程	c=1 d=5.49185e-09 t=48101
zhu ce ma 	註冊碼	c=4 d=2.42085e-19 t=48101
zhu dong 	主動	c=5 d=4.48293e-62 t=48101
zhu du 	豬肚	c=1 d=4.45601e-50 t=48101
zhu fan 	煮飯	c=1 d=1.75444e-84 t=48101
zhu guan 	主管	c=4 d=1.572e-57 t=48101
zhu guan 	主觀	c=1 d=2.2959e-72 t=48101
zhu guang 	珠光	c=3 d=2.65297e-59 t=48101
zhu ji 	主機	c=3 d=2.89436e-37 t=48101
zhu jian 	主鍵	c=16 d=4.65251e-12 t=48101
zhu jie 	註解	c=2 d=8.54267e-52 t=48101
zhu jie mian 	主界面	c=1 d=1 t=45480
zhu juan 	豬圈	c=1 d=7.05505e-44 t=48101
zhu li jun 	主力軍	c=1 d=2.15215e-76 t=48101
zhu ming 	著名	c=1 d=1.45213e-65 t=48101
zhu rou 	豬肉	c=3 d=2.95084 t=45753
zhu shi 	註釋	c=2 d=1.38903e-13 t=48101
zhu shou 	助手	c=35 d=0.932394 t=48101
zhu ti 	主題	c=19 d=0.39462 t=48101
zhu ti 	主體	c=1 d=1.18975e-44 t=48101
zhu ti she 	主題設	c=1 d=1 t=45906
zhu tu 	主图	c=3 d=0.0124629 t=48101
zhu xiao 	註銷	c=1 d=4.06682e-63 t=48101
zhu xiao hua 	助消化	c=1 d=5.75032e-50 t=48101
zhu yao 	主要	c=9 d=6.33133e-06 t=48101
zhu yao shi 	主要是	c=1 d=8.33769e-68 t=48101
zhu ye 	主頁	c=3 d=4.07457e-56 t=48101
zhu yi 	注意	c=17 d=3.96118 t=48101
zhu yi 	逐一	c=1 d=0.00115923 t=48101
zhu yi dao 	注意到	c=4 d=0.00250366 t=48101
zhu ying 	主營	c=2 d=0.000323925 t=48101
zhu zhi 	主治	c=1 d=1.89319e-09 t=48101
zhua jin 	抓緊	c=1 d=3.37191e-35 t=48101
zhua qu 	抓取	c=2 d=1.30649 t=48101
zhua zhu 	抓住	c=1 d=2.24151e-84 t=48101
zhuan 	磚	c=1 d=1 t=42103
zhuan 	賺	c=3 d=1.25318e-08 t=48101
zhuan 	轉	c=21 d=1.81238 t=48101
zhuan bu dao 	賺不到	c=1 d=1.84891e-54 t=48101
zhuan bu le 	賺不了	c=1 d=8.26624e-55 t=48101
zhuan fa 	轉發	c=8 d=7.69978e-14 t=48101
zhuan hua 	轉化	c=3 d=0.000737316 t=48101
zhuan huan 	轉換	c=3 d=0.199888 t=48101
zhuan lan 	專欄	c=1 d=3.82998e-63 t=48101
zhuan liang 	轉涼	c=1 d=8.12327e-85 t=48101
zhuan men 	專門	c=2 d=2.73406e-68 t=48101
zhuan qian 	賺錢	c=12 d=0.00245409 t=48101
zhuan qu 	專區	c=1 d=1.07928e-74 t=48101
zhuan quan quan 	轉圈圈	c=1 d=5.26827e-20 t=48101
zhuan shu 	專屬	c=2 d=4.96477e-39 t=48101
zhuan xiang 	轉向	c=1 d=9.21144e-64 t=48101
zhuan ye 	專業	c=7 d=0.000584578 t=48101
zhuan yi 	轉移	c=11 d=3.56406 t=47753
zhuan zhang 	轉賬	c=2 d=1.44395e-28 t=48101
zhuang 	裝	c=2 d=1.36687e-59 t=48101
zhuang ban 	裝扮	c=1 d=1 t=46313
zhuang shang 	撞上	c=3 d=5.145e-57 t=48101
zhuang tai 	狀態	c=8 d=1.0251 t=48101
zhuang tai lan 	狀態欄	c=2 d=1.4504e-51 t=48101
zhui 	追	c=1 d=9.38443e-77 t=48101
zhui bu hui lai 	追不回來	c=1 d=1.2694e-71 t=48101
zhui hui 	追回	c=3 d=8.89007e-58 t=48101
zhui hui lai 	追回來	c=1 d=1.28858e-71 t=48101
zhui jia 	追加	c=4 d=0.23457 t=48101
zhui qiu zhe 	追求者	c=1 d=5.21818e-84 t=48101
zhui zou 	追走	c=1 d=1.85017e-62 t=48101
zhun bei 	準備	c=12 d=6.53992e-05 t=48101
zhun bei hao 	準備好	c=1 d=2.48763e-45 t=48101
zhun que 	準確	c=2 d=8.54931e-10 t=48101
zhun ze 	準則	c=1 d=1.26066e-78 t=48101
zhuo mian 	桌面	c=1 d=0.640824 t=48101
zhuo se 	着色	c=1 d=7.20102e-79 t=48101
zhuo shi 	着實	c=1 d=7.5235e-65 t=48101
zi 	子	c=9 d=4.50876e-12 t=48101
zi 	字	c=3 d=0.458406 t=48101
zi 	自	c=2 d=0.377192 t=48101
zi 	資	c=1 d=1.16477e-59 t=48101
zi ben 	資本	c=1 d=1.78805e-72 t=48101
